account_id,metastore_id,workspace_id,entity_type,entity_id,source_table_full_name,source_table_catalog,source_table_schema,source_table_name,source_path,source_type,source_column_name,target_table_full_name,target_table_catalog,target_table_schema,target_table_name,target_path,target_type,target_column_name,event_time,event_date,statement_id
00000000-0000-0000-0000-000000000000,11111111-1111-1111-1111-111111111111,1234567890,JOB,42,JAFFLE_ODS.Main.Orders,JAFFLE_ODS,Main,Orders,,TABLE,Amount,jaffle_ods.main.customer_order_rank,jaffle_ods,main,customer_order_rank,,TABLE,AMOUNT,2026-09-01T06:00:00.000Z,2026-09-01,stmt-0000
00000000-0000-0000-0000-000000000000,11111111-1111-1111-1111-111111111111,1234567890,JOB,42,jaffle_ods.main.customers,jaffle_ods,main,customers,,TABLE,customer_id,jaffle_ods.main.customers_snapshot_view,jaffle_ods,main,customers_snapshot_view,,TABLE,customer_id,2026-09-02T06:01:00.000Z,2026-09-02,stmt-0001
00000000-0000-0000-0000-000000000000,11111111-1111-1111-1111-111111111111,1234567890,JOB,42,jaffle_ods.main.customers,jaffle_ods,main,customers,,TABLE,first_name,jaffle_ods.main.customers_snapshot_view,jaffle_ods,main,customers_snapshot_view,,TABLE,first_name,2026-09-03T06:02:00.000Z,2026-09-03,stmt-0002
00000000-0000-0000-0000-000000000000,11111111-1111-1111-1111-111111111111,1234567890,JOB,42,jaffle_ods.main.customers,jaffle_ods,main,customers,,TABLE,first_order,jaffle_ods.main.customers_snapshot_view,jaffle_ods,main,customers_snapshot_view,,TABLE,first_order,2026-09-04T06:03:00.000Z,2026-09-04,stmt-0003
00000000-0000-0000-0000-000000000000,11111111-1111-1111-1111-111111111111,1234567890,JOB,42,jaffle_ods.main.customers,jaffle_ods,main,customers,,TABLE,full_name,jaffle_ods.main.customers_snapshot_view,jaffle_ods,main,customers_snapshot_view,,TABLE,full_name,2026-09-05T06:04:00.000Z,2026-09-05,stmt-0004
00000000-0000-0000-0000-000000000000,11111111-1111-1111-1111-111111111111,1234567890,JOB,42,jaffle_ods.main.customers,jaffle_ods,main,customers,,TABLE,last_name,jaffle_ods.main.customers_snapshot_view,jaffle_ods,main,customers_snapshot_view,,TABLE,last_name,2026-09-06T06:05:00.000Z,2026-09-06,stmt-0005
00000000-0000-0000-0000-000000000000,11111111-1111-1111-1111-111111111111,1234567890,JOB,42,jaffle_ods.main.customers,jaffle_ods,main,customers,,TABLE,lifetime_value,jaffle_ods.main.customers_snapshot_view,jaffle_ods,main,customers_snapshot_view,,TABLE,lifetime_value,2026-09-07T06:06:00.000Z,2026-09-07,stmt-0006
00000000-0000-0000-0000-000000000000,11111111-1111-1111-1111-111111111111,1234567890,JOB,42,jaffle_ods.main.customers,jaffle_ods,main,customers,,TABLE,most_recent_order,jaffle_ods.main.customers_snapshot_view,jaffle_ods,main,customers_snapshot_view,,TABLE,most_recent_order,2026-09-08T06:07:00.000Z,2026-09-08,stmt-0007
00000000-0000-0000-0000-000000000000,11111111-1111-1111-1111-111111111111,1234567890,JOB,42,jaffle_ods.main.customers,jaffle_ods,main,customers,,TABLE,number_of_orders,jaffle_ods.main.customers_snapshot_view,jaffle_ods,main,customers_snapshot_view,,TABLE,number_of_orders,2026-09-09T06:08:00.000Z,2026-09-09,stmt-0008
00000000-0000-0000-0000-000000000000,11111111-1111-1111-1111-111111111111,1234567890,JOB,42,jaffle_ods.main.customers,jaffle_ods,main,customers,,TABLE,value_tier,jaffle_ods.main.customers_snapshot_view,jaffle_ods,main,customers_snapshot_view,,TABLE,value_tier,2026-09-10T06:09:00.000Z,2026-09-10,stmt-0009
